source_row,facility_code,facility_name,province,district,latitude,longitude,facility_type_raw,facility_type_canonical,ownership_raw,ownership_canonical,location_raw,location_canonical,level_raw,level_canonical,contact_raw,status_raw,status_canonical,bed_capacity,date_opened,date_closed,comments,acceptable_missing_fields,frontend_missing_visible,geospatial_readiness,facility_setup_state,source_label
2,ZW010125,Bangure Clinic,Manicaland,Buhera,-19.534847,31.759614,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,776673131,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
3,ZW010102,Betera rural health centre,Manicaland,Buhera,-19.377021,32.002219,RHC,RURAL_HEALTH_CENTRE,Government,GOVERNMENT,Rural,RURAL,Primary,PRIMARY,776570808,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
4,ZW01010B,Birchenough Bridge Hospital,Manicaland,Buhera,-19.961595,32.338586,Rural Hospital,RURAL_HOSPITAL,Government,GOVERNMENT,Rural,RURAL,Secondary,SECONDARY,773774017,Open,ACTIVE_OR_OPERATIONAL,60,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
5,ZW01010A,Buhera Rural Hospital,Manicaland,Buhera,-19.327473,31.435693,Rural Hospital,RURAL_HOSPITAL,Government,GOVERNMENT,Rural,RURAL,Secondary,SECONDARY,782307059,Open,ACTIVE_OR_OPERATIONAL,40,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
6,ZW010126,Chabata Clinic,Manicaland,Buhera,-19.785697,32.157855,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,774885319,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
7,ZW010127,Chapanduka clinic,Manicaland,Buhera,-19.683069,32.169095,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,715378976,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
8,ZW010128,Chapwanya Clinic,Manicaland,Buhera,-19.171836,31.347371,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,773516026,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
9,ZW010139,Chawatama RHC,Manicaland,Buhera,-19.142199,31.599208,RHC,RURAL_HEALTH_CENTRE,Government,GOVERNMENT,Rural,RURAL,Primary,PRIMARY,773023901,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
10,ZW010117,Chimbudzi Clinic,Manicaland,Buhera,-19.46022,31.804255,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,773512205,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
11,ZW010141,Chipondamidzi Clinic,Manicaland,Buhera,-19.824703,32.059892,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,776993824,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
12,ZW010129,Chirozva Clinic,Manicaland,Buhera,-19.443461,31.999448,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,774979305,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
14,ZW010131,Chiwese Clinic,Manicaland,Buhera,-19.222791,31.884524,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,785826522,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
15,ZW010132,Garamwera Clinic,Manicaland,Buhera,-19.206674,31.397494,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,774093298,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
16,ZW010133,Gombe Clinic,Manicaland,Buhera,-19.238248,31.533137,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,773543902,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
18,ZW010103,Madzimbashuro Rural Health Centre,Manicaland,Buhera,-19.435306,31.643306,RHC,RURAL_HEALTH_CENTRE,Government,GOVERNMENT,Rural,RURAL,Primary,PRIMARY,771125045,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
19,ZW010104,Mbundire Clinic,Manicaland,Buhera,-19.14312,31.385709,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,773508720,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
20,ZW010101,Berenyazvivi Clinic,Manicaland,Buhera,-19.053782,31.737613,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,778791048,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
21,ZW010142,Mombeyarara Rural Health Centre,Manicaland,Buhera,-19.19635,31.596266,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,772593359,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
22,ZW010143,Msasa RDC clinic,Manicaland,Buhera,-19.500648,31.91946,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,773567805,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
23,ZW010124,Mudanda Clinic,Manicaland,Buhera,-19.375566,31.715926,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,775324842,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
24,ZW010116,Mudawose Clinic,Manicaland,Buhera,-19.47407,32.099517,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,775788712,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
25,ZW010119,Munyanyi Clinic,Manicaland,Buhera,-19.156961,31.734779,RHC,RURAL_HEALTH_CENTRE,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,784233306,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
26,ZW01010C,Murambinda Mission Hospital,Manicaland,Buhera,-19.266934,31.655431,Mission Hospital,MISSION_HOSPITAL,Mission,MISSION_FAITH_BASED,Rural,RURAL,Secondary,SECONDARY,773512624,Open,ACTIVE_OR_OPERATIONAL,120,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
27,ZW010105,Murwira Rural Health Centre,Manicaland,Buhera,-19.533442,31.832864,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,779167319,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
30,ZW010135,Mutiusinazita Clinic,Manicaland,Buhera,-19.724738,32.066173,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,714288419,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
31,ZW010136,Muzokomba Clinic,Manicaland,Buhera,-19.582905,31.962475,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,777783195,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
32,ZW010140,Ndyarima clinic,Manicaland,Buhera,-19.494702,31.705138,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,773971032,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
33,ZW010137,Nerutanga Clinic,Manicaland,Buhera,-19.2795,31.350595,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,779047910,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
34,ZW01010D,Nyashanu Mission Clinic,Manicaland,Buhera,-19.283341,31.871238,Mission Clinic,MISSION_CLINIC,Mission,MISSION_FAITH_BASED,Rural,RURAL,Primary,PRIMARY,783278448,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
35,ZW010138,Rambanepasi Clinic,Manicaland,Buhera,-19.139814,31.646061,Clinic,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,776172818,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
36,ZW010144,St Moses Chiremwa clinic,Manicaland,Buhera,-19.137026,31.884837,Clinic,CLINIC,Government,GOVERNMENT,Rural,RURAL,Primary,PRIMARY,783278467,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
37,ZW010106,Zangama Rural Health Centre,Manicaland,Buhera,-19.565809,32.114484,RHC,RURAL_HEALTH_CENTRE,Government,GOVERNMENT,Rural,RURAL,Primary,PRIMARY,771492539,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
38,ZW010251,Arda Rusitu Clinic,Manicaland,Chimanimani,-20.035446,32.785757,RDC,CLINIC,Private,PRIVATE,Rural,RURAL,Primary,PRIMARY,773656070,Open,ACTIVE_OR_OPERATIONAL,0,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
39,ZW0102OA,Biriwiri Rural Hospital,Manicaland,Chimanimani,-19.776514,32.673509,Rural Hospital,RURAL_HOSPITAL,Government,GOVERNMENT,Rural,RURAL,Secondary,SECONDARY,774061559,Open,ACTIVE_OR_OPERATIONAL,149,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
40,ZW010201,Bumba Rural Health Centre,Manicaland,Chimanimani,,,Rural Hospital,RURAL_HOSPITAL,Government,GOVERNMENT,Rural,RURAL,Primary,PRIMARY,773463868,Open,ACTIVE_OR_OPERATIONAL,8,,,,Latitude; Longitude,YES,INCOMPLETE_MISSING_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
41,ZW010226,Cashel Clinic,Manicaland,Chimanimani,-19.541361,32.788698,RDC,CLINIC,Private,PRIVATE,Rural,RURAL,Primary,PRIMARY,773914587,Open,ACTIVE_OR_OPERATIONAL,2,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
42,ZW010202,Chakohwa Clinic,Manicaland,Chimanimani,-19.545732,32.515439,RDC,CLINIC,CRDC,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,773285820,Open,ACTIVE_OR_OPERATIONAL,4,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
43,ZW010261,Changazi Rural Health Centre,Manicaland,Chimanimani,-19.933916,32.460376,RDC,CLINIC,Government,GOVERNMENT,Rural,RURAL,Primary,PRIMARY,778965506,Open,ACTIVE_OR_OPERATIONAL,5,,,,,NO,READY_WITH_COORDINATES,IMPORTED_PENDING_CONFIGURATION,MASTER_HEALTH_FACILITY_2024_07_23
