source_row,facility_code,facility_name,province,district,latitude,longitude,facility_type_raw,facility_type_canonical,ownership_raw,ownership_canonical,location_raw,location_canonical,level_raw,level_canonical,contact_raw,status_raw,status_canonical,bed_capacity,date_opened,date_closed,comments,acceptable_missing_fields,frontend_missing_visible,geospatial_readiness,facility_setup_state,source_label,required_missing_fields,exclusion_reason
13,ZW010130,Chiwenga Clinic,Manicaland,Buhera,-19.239178,31.977644,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,,Open,ACTIVE_OR_OPERATIONAL,,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_NAME
28,ZW010145,Mutasa Clinic,Manicaland,Buhera,-19.356364,31.544244,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,774930647,Open,ACTIVE_OR_OPERATIONAL,6,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_NAME
164,ZW010482,Mukamba Clinic,Manicaland,Makoni,-18.866445,31.997593,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,0718 956 645,Open,ACTIVE_OR_OPERATIONAL,,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_NAME
197,ZW010601,Chinamasa Clinic,Manicaland,Mutasa,-18.578306,32.570846,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,0775085461,Open,ACTIVE_OR_OPERATIONAL,5,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_NAME
220,ZW010630,Mutasa Clinic,Manicaland,Mutasa,-18.545563,32.645752,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,0777591657,Open,ACTIVE_OR_OPERATIONAL,4,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_NAME
293,ZW010538,Odzi Clinic,Manicaland,Mutare,-18.96406,32.389054,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,0777992460,Open,ACTIVE_OR_OPERATIONAL,7,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_NAME
301,ZW010515,Vumba Clinic,Manicaland,Mutare,-19.042149,32.813447,RHC,RURAL_HEALTH_CENTRE,Private,PRIVATE,Rural,RURAL,Primary,PRIMARY,0775065048,Open,ACTIVE_OR_OPERATIONAL,7,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_NAME
322,ZW010733,Munemo clinic,Manicaland,Nyanga,-17.649303,32.860689,RHC,RURAL_HEALTH_CENTRE,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,773928900,Open,ACTIVE_OR_OPERATIONAL,,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_NAME
477,ZW040192,Munemo clinic,Mashonaland West,Chegutu,-18.336197,30.408129,RHC,RURAL_HEALTH_CENTRE,Rural Council,RURAL_DISTRICT_COUNCIL,Rural,RURAL,Primary,PRIMARY,0772124717,Open,ACTIVE_OR_OPERATIONAL,60,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_NAME
480,ZW0140109,Mupfure Clinic,Mashonaland West,Chegutu,-18.098342,30.202425,RDC,CLINIC,Rural Council,RURAL_DISTRICT_COUNCIL,Peri-Urban,PERI_URBAN,Primary,PRIMARY,0773459882,Open,ACTIVE_OR_OPERATIONAL,2,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,,DUPLICATE_FACILITY_NAME
