source_row,facility_code,facility_name,province,district,latitude,longitude,facility_type_raw,facility_type_canonical,ownership_raw,ownership_canonical,location_raw,location_canonical,level_raw,level_canonical,contact_raw,status_raw,status_canonical,bed_capacity,date_opened,date_closed,comments,acceptable_missing_fields,frontend_missing_visible,geospatial_readiness,facility_setup_state,source_label,required_missing_fields,exclusion_reason
64,,Mhandarume,Manicaland,Chimanimani,,,,,,,,,,,,,,,,,,Latitude; Longitude; Facility Type; Ownership; Status,YES,INCOMPLETE_MISSING_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,Facility Code,MISSING_REQUIRED: Facility Code
71,,Runyararo Hospital,Manicaland,Chimanimani,,,,,,,,,,,,,,,,,,Latitude; Longitude; Facility Type; Ownership; Status,YES,INCOMPLETE_MISSING_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,Facility Code,MISSING_REQUIRED: Facility Code
214,,Magadzire health post,Manicaland,Mutasa,,,,,,,,,,,,,,,,,,Latitude; Longitude; Facility Type; Ownership; Status,YES,INCOMPLETE_MISSING_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,Facility Code,MISSING_REQUIRED: Facility Code
283,,Murowa Rural Health Centre,Manicaland,Mutare,,,,,,,,,,,,,,,,,,Latitude; Longitude; Facility Type; Ownership; Status,YES,INCOMPLETE_MISSING_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,Facility Code,MISSING_REQUIRED: Facility Code
310,,Dazi,Manicaland,Nyanga,,,,,,,,,,,,,,,,,,Latitude; Longitude; Facility Type; Ownership; Status,YES,INCOMPLETE_MISSING_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,Facility Code,MISSING_REQUIRED: Facility Code
328,,Nyamombe Camp Rural Health Centre,Manicaland,Nyanga,,,,,,,,,,,,,,,,,,Latitude; Longitude; Facility Type; Ownership; Status,YES,INCOMPLETE_MISSING_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,Facility Code,MISSING_REQUIRED: Facility Code
330,,Nyanguai Clinic,Manicaland,Nyanga,,,,,,,,,,,,,,,,,,Latitude; Longitude; Facility Type; Ownership; Status,YES,INCOMPLETE_MISSING_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,Facility Code,MISSING_REQUIRED: Facility Code
331,,Nyangui Clinic,Manicaland,Nyanga,,,,,,,,,,,,,,,,,,Latitude; Longitude; Facility Type; Ownership; Status,YES,INCOMPLETE_MISSING_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,Facility Code,MISSING_REQUIRED: Facility Code
340,,Arcadia Clinic,Harare,Southern,-17.8468,31.0546,RHC,RURAL_HEALTH_CENTRE,Town/City Council,LOCAL_AUTHORITY,Urban,URBAN,Primary,PRIMARY,0777608808,Open,ACTIVE_OR_OPERATIONAL,,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,Facility Code,MISSING_REQUIRED: Facility Code
343,,Avondale Clinic,Harare,Northern,-17.7883,31.0291,RHC,RURAL_HEALTH_CENTRE,Town/City Council,LOCAL_AUTHORITY,Urban,URBAN,Primary,PRIMARY,0772805463,Open,ACTIVE_OR_OPERATIONAL,,,,,,NO,READY_WITH_COORDINATES,STAGED_REVIEW_REQUIRED,MASTER_HEALTH_FACILITY_2024_07_23,Facility Code,MISSING_REQUIRED: Facility Code
