=== Stub Density Audit: Backend Service Depth Scan ===
Date: 2026-06-07T08:47:49Z

SERVICE                                   JAVA  CTRL   MIG  TEST  REPO  STATUS
-------                                   ----  ----   ---  ----  ----  ------
pharmacy-service                           105    10     8    10     9  REAL
learning-service                           109    18    18    14    25  REAL
inventory-service                          111    10     6     7    14  REAL
butano-fhir                                 12     2     2     2     2  THIN
pct-service                                130    15    18     8    18  REAL
rtc-gateway-service                         13     1     0     1     0  THIN
guidance-service                            13     1     4     0     3  THIN
audit-ledger-service                        13     1     4     2     3  THIN
wellness-service                            13     4     8     4     0  THIN
msika-apps-service                          14     0     4     2     0  LIBRARY
msika-flow-service                         146    11     6     9    25  REAL
madi-service                               148    11     8    10    45  REAL
schema-registry-service                     15     1     2     3     3  ADEQUATE
pharmacy-elmis-adapter                      16     2     2     2     2  ADEQUATE
inventory-elmis-adapter                     16     2     2     2     2  ADEQUATE
connector-fhir-adapter                      16     2     4     2     3  ADEQUATE
product-registry-service                    17     3     4     3     2  ADEQUATE
mushex-service                             174    16    16    17    25  REAL
jobs-service                                18     2     2     2     3  ADEQUATE
inpatient-service                           18     2     8     1     3  ADEQUATE-LOW-TEST
tuso-service                               185    14    20    12    43  REAL
forms-service                               19     1     2     2     3  ADEQUATE
fhir-gateway-service                        19     2     4     2     3  ADEQUATE
ubomi-service                               19     4     2     1     4  ADEQUATE-LOW-TEST
iot-ingestion-service                       20     2     6     2     3  ADEQUATE
data-ingestion-service                      20     2     6     2     3  ADEQUATE
offline-sync-service                        20     3     4     2     3  ADEQUATE
scheduling-service                           2     1     0     0     0  THIN
analytics-pipeline-service                   2     1     0     0     0  THIN
costing-engine-service                     216    20    22    12    48  REAL
shared-core                                 22     0     0     3     0  ADEQUATE
developer-portal-service                    22     1     4     5     4  ADEQUATE
vito-service                               222    24    56    28    42  REAL
security-hardening-service                  22     3     2     4     4  ADEQUATE
varapi-service                             232    27    30    10    48  REAL
ndr-service                                 23     2     6     2     4  ADEQUATE
workflow-service                            23     3     4     3     4  ADEQUATE
data-warehouse-service                      23     3     4     3     5  ADEQUATE
llm-orchestration-service                   24     1     2     1     2  ADEQUATE-LOW-TEST
campaigns-service                           24     1     4     6     4  ADEQUATE
landela-adapter-service                     25     4     2     1     3  ADEQUATE-LOW-TEST
identity-assurance-service                  26     2     2     7     4  ADEQUATE
hr-payroll-service                          27     1     2     0    10  ADEQUATE-LOW-TEST
card-print-agent                            27     3     2     1     3  ADEQUATE-LOW-TEST
ai-model-registry-service                   27     5     2     2     5  ADEQUATE
search-service                              28     1     6     6     2  ADEQUATE
share-slip-service                          28     3     2     1     3  ADEQUATE-LOW-TEST
asset-registry-service                      28     4    10     2     5  ADEQUATE
observability-service                       28     4     4     5     5  ADEQUATE
credential-verification-service             29     5     2     1     4  ADEQUATE-LOW-TEST
channels-service                            30     5     2     2     4  ADEQUATE
procurement-service                         31     1     2     0    11  ADEQUATE-LOW-TEST
rules-service                               31     1     6     4     6  ADEQUATE
general-ledger-service                      31     7     2     0     7  ADEQUATE-LOW-TEST
national-data-repository-service            32     3     2     7     5  REAL
data-access-governance-service              34     3     2     8     6  REAL
data-pipeline-service                       35     4     4     7     4  REAL
tshepo-keys-service                         35     5     2     4     4  REAL
butano-service                              35     5     4     4     3  REAL
data-governance-service                     36     4     8     2     6  ADEQUATE
reporting-service                           38     2     2     8     4  ADEQUATE
tshepo-audit-service                        40     6     4     4     4  REAL
support-service                             40     8     8     3     6  REAL
mvumo-service                               41     1     8     6     7  ADEQUATE
offline-edge-service                        41     6    16     8     6  REAL
workforce-governance-service                43     1     2     1    12  ADEQUATE-LOW-TEST
document-service                            43     2     6     2     5  ADEQUATE
tshepo-consent-service                      43     5     2     4     4  REAL
dispatch-service                            44     4     8     2    14  ADEQUATE
mushe-wallet-service                        44     6     4     0     9  ADEQUATE-LOW-TEST
pacs-adapter-service                        48     2     6     4     9  ADEQUATE
experience-bff                             504   231    88   122     1  REAL
tshepo-offline-service                      50     5     2     4     5  REAL
referral-service                             5     1     0     1     0  THIN
community-service                           51     6     4     1    15  ADEQUATE-LOW-TEST
simba-service                               52    13     4     0    14  ADEQUATE-LOW-TEST
notification-service                        52     4    12     5     6  REAL
tshepo-identity-service                     53     6     2     6     5  REAL
clinical-knowledge-platform-service         55     3     8     7    11  REAL
integration-hub                             56     4     8     6     5  REAL
indawo-service                              59     4    12     4    17  REAL
booking-service                             62     2     2     5     6  ADEQUATE
zibo-service                                66     8     4     7     8  REAL
nhume-service                               72     7     8     1    19  ADEQUATE-LOW-TEST
tshepo-service                              73     8    22     9     9  REAL
ndila-service                               74    12     2     6     7  REAL
coverage-service                            77    11    14     4    13  REAL
tshepo-authz-service                        78     8    24     7     8  REAL
live-service                                79    10     4     4    14  REAL
surveillance-service                        83     5    22     8    21  REAL
msika-service                               91    11    10     5    15  REAL
oros-service                                93    10     4     8    12  REAL

=== Scan complete ===
