NAME                      READY   UP-TO-DATE   AVAILABLE   AGE
butano-service            0/1     1            0           112m
envoy                     1/1     1            1           112m
experience-bff            1/1     1            1           112m
fhir-gateway-service      0/1     1            0           112m
hapi-fhir                 1/1     1            1           112m
kafka                     1/1     1            1           112m
keycloak                  1/1     1            1           112m
minio                     1/1     1            1           112m
one-ui-shell              1/1     1            1           112m
pct-service               0/1     1            0           112m
postgres                  1/1     1            1           112m
redis                     1/1     1            1           112m
tshepo-audit-service      0/1     1            0           112m
tshepo-authz-service      0/1     1            0           112m
tshepo-consent-service    0/1     1            0           112m
tshepo-identity-service   0/1     1            0           112m
tshepo-keys-service       0/1     1            0           112m
tuso-service              0/1     1            0           112m
ubomi-service             1/1     1            1           112m
varapi-service            0/1     1            0           112m
vito-service              0/1     1            0           112m
zibo-service              0/1     1            0           112m
