id	build_tool	source_path	classification
ai-model-registry-service	maven	services/ai-model-registry-service	optional_full_boot
analytics-pipeline-service	maven	services/analytics-pipeline-service	optional_full_boot
asset-registry-service	maven	services/asset-registry-service	optional_full_boot
audit-ledger-service	maven	services/audit-ledger-service	optional_full_boot
butano-fhir	maven	services/butano-fhir	optional_full_boot
butano-service	maven	services/butano-service	required_full_boot
butano-web	npm	ui/butano-web	optional_full_boot
campaigns-service	maven	services/campaigns-service	optional_full_boot
card-print-agent	maven	services/card-print-agent	optional_full_boot
channels-service	maven	services/channels-service	optional_full_boot
citizen-app	pnpm	apps/mobile/citizen-app	optional_full_boot
clinical-knowledge-platform-service	maven	services/clinical-knowledge-platform-service	optional_full_boot
community-service	maven	services/community-service	optional_full_boot
connector-fhir-adapter	maven	services/connector-fhir-adapter	optional_full_boot
costa-console	npm	ui/costa-console	optional_full_boot
costing-engine-service	maven	services/costing-engine-service	optional_full_boot
coverage-service	maven	services/coverage-service	optional_full_boot
credential-verification-service	maven	services/credential-verification-service	optional_full_boot
data-access-governance-service	maven	services/data-access-governance-service	optional_full_boot
data-governance-service	maven	services/data-governance-service	optional_full_boot
data-ingestion-service	maven	services/data-ingestion-service	optional_full_boot
data-pipeline-service	maven	services/data-pipeline-service	optional_full_boot
data-warehouse-service	maven	services/data-warehouse-service	optional_full_boot
developer-console	npm	ui/developer-console	optional_full_boot
developer-portal-service	maven	services/developer-portal-service	optional_full_boot
dispatch-service	maven	services/dispatch-service	optional_full_boot
document-service	maven	services/document-service	optional_full_boot
ehr	npm	ui/ehr	optional_full_boot
experience-bff	maven	services/experience-bff	required_full_boot
fhir-gateway-service	maven	services/fhir-gateway-service	required_full_boot
forms-service	maven	services/forms-service	optional_full_boot
general-ledger-service	maven	services/general-ledger-service	optional_full_boot
guidance-service	maven	services/guidance-service	optional_full_boot
hr-payroll-service	maven	services/hr-payroll-service	optional_full_boot
identity-assurance-service	maven	services/identity-assurance-service	optional_full_boot
indawo-service	maven	services/indawo-service	optional_full_boot
inpatient-service	maven	services/inpatient-service	optional_full_boot
integration-hub	maven	services/integration-hub	optional_full_boot
inventory-elmis-adapter	maven	services/inventory-elmis-adapter	optional_full_boot
inventory-service	maven	services/inventory-service	optional_full_boot
inventory-web	npm	ui/inventory-web	optional_full_boot
iot-ingestion-service	maven	services/iot-ingestion-service	optional_full_boot
jobs-service	maven	services/jobs-service	optional_full_boot
knowledge-admin	npm	ui/knowledge-admin	optional_full_boot
landela-adapter-service	maven	services/landela-adapter-service	optional_full_boot
learning-service	maven	services/learning-service	optional_full_boot
llm-orchestration-service	maven	services/llm-orchestration-service	optional_full_boot
msika-flow-ops	npm	ui/msika-flow-ops	optional_full_boot
msika-flow-portal	npm	ui/msika-flow-portal	optional_full_boot
msika-flow-service	maven	services/msika-flow-service	optional_full_boot
msika-flow-vendor	npm	ui/msika-flow-vendor	optional_full_boot
msika-service	maven	services/msika-service	optional_full_boot
msika-web	npm	ui/msika-web	optional_full_boot
mushe-wallet-service	maven	services/mushe-wallet-service	optional_full_boot
mushex-finance-console	npm	ui/mushex-finance-console	optional_full_boot
mushex-ops-console	npm	ui/mushex-ops-console	optional_full_boot
mushex-payer-portal	npm	ui/mushex-payer-portal	optional_full_boot
mushex-service	maven	services/mushex-service	optional_full_boot
mvumo-service	maven	services/mvumo-service	optional_full_boot
national-data-repository-service	maven	services/national-data-repository-service	optional_full_boot
ndila-service	maven	services/ndila-service	optional_full_boot
ndr-service	maven	services/ndr-service	optional_full_boot
nhume-service	maven	services/nhume-service	optional_full_boot
notification-service	maven	services/notification-service	optional_full_boot
observability-service	maven	services/observability-service	optional_full_boot
offline-edge-service	maven	services/offline-edge-service	optional_full_boot
offline-sync-service	maven	services/offline-sync-service	optional_full_boot
one-ui-shell	npm	ui/one-ui-shell	required_full_boot
ops-console	npm	ui/ops-console	optional_full_boot
ops-docs	npm	ui/ops-docs	optional_full_boot
oros-service	maven	services/oros-service	optional_full_boot
oros-web	npm	ui/oros-web	optional_full_boot
pacs-adapter-service	maven	services/pacs-adapter-service	optional_full_boot
pct-service	maven	services/pct-service	required_full_boot
pct-web	npm	ui/pct-web	optional_full_boot
pharmacy-elmis-adapter	maven	services/pharmacy-elmis-adapter	optional_full_boot
pharmacy-service	maven	services/pharmacy-service	optional_full_boot
pharmacy-web	npm	ui/pharmacy-web	optional_full_boot
portal	npm	ui/portal	optional_full_boot
procurement-service	maven	services/procurement-service	optional_full_boot
product-registry-service	maven	services/product-registry-service	optional_full_boot
provider-app	pnpm	apps/mobile/provider-app	optional_full_boot
referral-service	maven	services/referral-service	optional_full_boot
reporting-service	maven	services/reporting-service	optional_full_boot
rules-service	maven	services/rules-service	optional_full_boot
scheduling-service	maven	services/scheduling-service	optional_full_boot
schema-registry-service	maven	services/schema-registry-service	optional_full_boot
search-service	maven	services/search-service	optional_full_boot
security-hardening-service	maven	services/security-hardening-service	optional_full_boot
self-service	npm	ui/self-service	optional_full_boot
share-slip-service	maven	services/share-slip-service	optional_full_boot
shared-ui	npm	ui/shared-ui	optional_full_boot
simba-service	maven	services/simba-service	optional_full_boot
support-console	npm	ui/support-console	optional_full_boot
support-service	maven	services/support-service	optional_full_boot
surveillance-service	maven	services/surveillance-service	optional_full_boot
tshepo-audit-service	maven	services/tshepo-audit-service	required_full_boot
tshepo-authz-service	maven	services/tshepo-authz-service	required_full_boot
tshepo-consent-service	maven	services/tshepo-consent-service	required_full_boot
tshepo-identity-service	maven	services/tshepo-identity-service	required_full_boot
