code,label,description,restricted,required_credential,search_terms
EMERGENCY_RESUSCITATION,Emergency & resuscitation equipment,"Emergency trolleys and trays, defibrillators, airway management, intubation kits, resuscitators and first aid kits.",false,,defibrillator;resuscitation;airway;emergency trolley;first aid;laryngoscope
SUCTION_OXYGEN_DELIVERY,"Oxygen, suction & medical gas delivery","Oxygen cylinders and piped units, flow meters, suction machines and controllers, medical gas pipeline outlets and nebulizers.",false,,oxygen cylinder;suction machine;medical gas;flow meter;nebulizer;piped vacuum
ANAESTHESIA_VENTILATION,Anaesthesia & ventilation equipment,"Anaesthetic machines, ICU and transport ventilators, CPAP units, humidifiers and respirometers.",false,,ventilator;anaesthetic machine;cpap;anaesthesia;respirometer
PATIENT_MONITORING,Patient monitoring & vital signs,"Multiparameter monitors, ECG, pulse oximeters, blood pressure machines, sphygmomanometers and apnoea alarms.",false,,patient monitor;ecg;pulse oximeter;blood pressure;sphygmomanometer;vital signs
DIAGNOSTIC_INSTRUMENTS,Diagnostic instruments & examination sets,"Stethoscopes, diagnostic sets, otoscopes/auroscopes, fundoscopes and clinical thermometers.",false,,stethoscope;diagnostic set;otoscope;thermometer;examination instruments
POINT_OF_CARE_TESTING,Point-of-care testing & rapid diagnostics,"Glucometers, haemoglobin meters, urine test kits and other bedside rapid diagnostic supplies.",false,,glucometer;rapid test;urine test;haemoglobin meter;point of care
INFUSION_INJECTION,"Infusion, injection & IV supplies","Infusion and syringe pumps, drip stands, IV cannulas, giving sets, syringes and needles.",false,,infusion pump;drip stand;iv cannula;giving set;syringe;needles
MATERNITY_NEONATAL_EQUIPMENT,"Maternity, obstetric & neonatal equipment","Delivery beds, fetal dopplers and CTG, vacuum extractors, bassinets, infant incubators and newborn care kits.",false,,delivery bed;fetal doppler;ctg;incubator;bassinet;obstetric
THEATRE_EQUIPMENT,Operating theatre equipment,"Operating tables, electrosurgical/diathermy apparatus and dedicated theatre installations.",false,,operating table;diathermy;electrosurgical;theatre
SURGICAL_INSTRUMENTS,Surgical instruments & procedure packs,"Surgical instrument sets, forceps, chest drain packs and sterile procedure packs (CVP, tracheostomy).",false,,surgical instruments;forceps;procedure pack;chest drain;instrument set
