requirement_code,module,category_code,restricted,notes
AEU-002,MOD-ACCIDENT-EMERGENCY,WASTE_MANAGEMENT,false,
AEU-004,MOD-ACCIDENT-EMERGENCY,CLINICAL_FURNITURE,false,Examination couch with desk and chair
AEU-010,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-017,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-020,MOD-ACCIDENT-EMERGENCY,FACILITY_GENERAL_SUPPLIES,false,
AEU-031,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-037,MOD-ACCIDENT-EMERGENCY,PATIENT_MONITORING,false,
AEU-038,MOD-ACCIDENT-EMERGENCY,DIAGNOSTIC_INSTRUMENTS,false,
AEU-039,MOD-ACCIDENT-EMERGENCY,MEDICAL_LIGHTING,false,
AEU-040,MOD-ACCIDENT-EMERGENCY,MEDICAL_LIGHTING,false,
AEU-041,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-042,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-044,MOD-ACCIDENT-EMERGENCY,CLINICAL_FURNITURE,false,
AEU-045,MOD-ACCIDENT-EMERGENCY,PATIENT_MONITORING,false,
AEU-046,MOD-ACCIDENT-EMERGENCY,PATIENT_MONITORING,false,
AEU-047,MOD-ACCIDENT-EMERGENCY,DIAGNOSTIC_INSTRUMENTS,false,
AEU-048,MOD-ACCIDENT-EMERGENCY,PATIENT_MONITORING,false,
AEU-049,MOD-ACCIDENT-EMERGENCY,CLINICAL_FURNITURE,false,
AEU-050,MOD-ACCIDENT-EMERGENCY,CLINICAL_FURNITURE,false,
AEU-051,MOD-ACCIDENT-EMERGENCY,INFUSION_INJECTION,false,
AEU-052,MOD-ACCIDENT-EMERGENCY,MEDICAL_LIGHTING,false,
AEU-053,MOD-ACCIDENT-EMERGENCY,MEDICAL_LIGHTING,false,
AEU-054,MOD-ACCIDENT-EMERGENCY,DIAGNOSTIC_IMAGING_EQUIPMENT,false,
AEU-055,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-056,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-057,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-058,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-059,MOD-ACCIDENT-EMERGENCY,EMERGENCY_RESUSCITATION,false,
AEU-060,MOD-ACCIDENT-EMERGENCY,SURGICAL_INSTRUMENTS,false,
AEU-061,MOD-ACCIDENT-EMERGENCY,EMERGENCY_RESUSCITATION,false,
AEU-062,MOD-ACCIDENT-EMERGENCY,SURGICAL_INSTRUMENTS,false,
AEU-064,MOD-ACCIDENT-EMERGENCY,CLINICAL_FURNITURE,false,Treatment trolley or theatre table
AEU-065,MOD-ACCIDENT-EMERGENCY,PATIENT_MONITORING,false,
AEU-066,MOD-ACCIDENT-EMERGENCY,PATIENT_MONITORING,false,
AEU-067,MOD-ACCIDENT-EMERGENCY,CLINICAL_FURNITURE,false,
AEU-068,MOD-ACCIDENT-EMERGENCY,CLINICAL_FURNITURE,false,
AEU-069,MOD-ACCIDENT-EMERGENCY,INFUSION_INJECTION,false,
AEU-070,MOD-ACCIDENT-EMERGENCY,MEDICAL_LIGHTING,false,
AEU-071,MOD-ACCIDENT-EMERGENCY,DIAGNOSTIC_IMAGING_EQUIPMENT,false,
AEU-072,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-073,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-074,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-075,MOD-ACCIDENT-EMERGENCY,SUCTION_OXYGEN_DELIVERY,false,
AEU-076,MOD-ACCIDENT-EMERGENCY,EMERGENCY_RESUSCITATION,false,
AEU-077,MOD-ACCIDENT-EMERGENCY,ANAESTHESIA_VENTILATION,false,
AEU-079,MOD-ACCIDENT-EMERGENCY,REFRIGERATION_COLD_CHAIN,false,
AEU-080,MOD-ACCIDENT-EMERGENCY,PATIENT_TRANSPORT_MOBILITY,false,
AEU-081,MOD-ACCIDENT-EMERGENCY,PATIENT_TRANSPORT_MOBILITY,false,
AAM-008,MOD-AIR-AMBULANCE,EXCLUDED,false,"Aircraft ownership/lease evidence - contractual proof, outside marketplace scope"
AAM-017,MOD-AIR-AMBULANCE,EMERGENCY_RESUSCITATION,false,
AAM-018,MOD-AIR-AMBULANCE,PATIENT_MONITORING,false,
AAM-019,MOD-AIR-AMBULANCE,PATIENT_MONITORING,false,Manual aneroid BP monitor
AAM-020,MOD-AIR-AMBULANCE,DIAGNOSTIC_INSTRUMENTS,false,
AAM-021,MOD-AIR-AMBULANCE,ANAESTHESIA_VENTILATION,false,
AAM-022,MOD-AIR-AMBULANCE,ANAESTHESIA_VENTILATION,false,
AAM-023,MOD-AIR-AMBULANCE,EMERGENCY_RESUSCITATION,false,
